Number,Character
655,"U_BASE 1, SUPPLY 1, TEMPLE 1, U_SPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, U_SPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, "
513,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 2, U_SPLY 1, U_SPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 2, SUPPLY 2, U_SPLY 1, "
541,"U_BASE 2, SUPPLY 1, U_BASE 2, SUPPLY 1, TEMPLE 1, U_SPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, U_SPLY 1, U_BASE 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, U_SPLY 1, U_SPLY 2, SUPPLY 2, U_SPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 2, "
475,"SUPPLY 1, TEMPLE 1, SUPPLY 1, U_BASE 2, U_BASE 2, SUPPLY 1, U_SPLY 1, U_BASE 1, SUPPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 2, U_SPLY 1, U_SPLY 2, "
477,"TEMPLE 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 1, U_BASE 1, U_BASE 2, U_SPLY 1, U_SPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 2, "
667,"U_BASE 1, SUPPLY 1, U_BASE 2, TEMPLE 1, U_SPLY 1, SUPPLY 2, SUPPLY 1, U_SPLY 2, U_SPLY 1, SUPPLY 2, SUPPLY 1, "
416,"SUPPLY 1, TEMPLE 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, U_SPLY 1, U_BASE 1, SUPPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 2, "
,"TEMPLE 1, SUPPLY 1, U_BASE 2, "
440,"SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, TEMPLE 1, U_SPLY 1, U_SPLY 1, U_SPLY 1, U_BASE 1, U_SPLY 1, SUPPLY 2, U_SPLY 2, U_BASE 2, SUPPLY 2, SUPPLY 1, U_BASE 2, SUPPLY 2, "
653,"U_BASE 1, SUPPLY 1, U_BASE 2, TEMPLE 1, U_SPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 2, U_SPLY 1, U_SPLY 1, U_SPLY 2, "
732,"SUPPLY 1, U_BASE 2, U_BASE 2, TEMPLE 2, U_BASE 1, SUPPLY 2, SUPPLY 2, U_SPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 2, U_SPLY 2, U_SPLY 2, SUPPLY 2, "
571,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, U_SPLY 1, U_BASE 2, SUPPLY 2, "
453,"SUPPLY 1, SUPPLY 1, U_BASE 1, TEMPLE 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, U_SPLY 2, U_BASE 2, "
