Number,Character
574,"SUPPLY, SUPPLY, TEMPLE, SUPPLY, U_BASE, U_SPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, "
609,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_BASE, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
,"TEMPLE, "
626,"SUPPLY, U_BASE, TEMPLE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
713,"TEMPLE, SUPPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
673,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, SUPPLY, "
574,"SUPPLY, SUPPLY, U_BASE, TEMPLE, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
,"U_BASE, "
,"TEMPLE, U_BASE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
574,"SUPPLY, U_BASE, SUPPLY, TEMPLE, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
581,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_BASE, SUPPLY, U_SPLY, U_SPLY, SUPPLY, "
599,"TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, "
571,"SUPPLY, U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
914,"TEMPLE, SUPPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, "
547,"SUPPLY, SUPPLY, SUPPLY, U_BASE, TEMPLE, SUPPLY, SUPPLY, U_SPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
,"U_BASE, TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, "
568,"SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, TEMPLE, SUPPLY, U_SPLY, SUPPLY, "
627,"U_BASE, SUPPLY, TEMPLE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
674,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, U_BASE, TEMPLE, "
1110,"TEMPLE, SUPPLY, U_SPLY, U_BASE, SUPPLY, "
619,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, U_BASE, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, "
772,"SUPPLY, TEMPLE, SUPPLY, U_BASE, U_SPLY, SUPPLY, "
715,"SUPPLY, TEMPLE, SUPPLY, U_SPLY, SUPPLY, "
,"U_BASE, TEMPLE, SUPPLY, SUPPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, U_SPLY, U_SPLY, SUPPLY, SUPPLY, U_SPLY, "
649,"SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, "
824,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, U_SPLY, SUPPLY, U_SPLY, U_BASE, "
706,"SUPPLY, SUPPLY, SUPPLY, TEMPLE, U_SPLY, "
1020,"TEMPLE, SUPPLY, U_SPLY, SUPPLY, "
684,"U_BASE, SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, SUPPLY, U_SPLY, "
541,"U_BASE, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, SUPPLY, "
679,"SUPPLY, TEMPLE, U_SPLY, U_BASE, SUPPLY, SUPPLY, U_SPLY, SUPPLY, "
779,"SUPPLY, SUPPLY, TEMPLE, U_SPLY, U_SPLY, "
923,"SUPPLY, TEMPLE, SUPPLY, U_SPLY, U_SPLY, U_BASE, "
540,"SUPPLY, SUPPLY, SUPPLY, SUPPLY, U_BASE, SUPPLY, SUPPLY, "
